cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
206,230,230,100.0,103.2,0.09379703369140625,-0.022509297356009483,0.4343007802963257,0.07174858798965078
207,129,129,100.0,265.7,0.02698179595324458,-0.014265991747379303,0.1982758641242981,0.03238843705488987
208,17,17,100.0,93.5,0.39323800223214284,0.0,0.5577436685562134,0.10850053094939623
209,18,18,100.0,12.3,0.3675354736328125,0.0585457980632782,0.5446960926055908,0.10742184905542804
210,73,73,100.0,76.4,0.1694421142578125,-0.00788054708391428,0.5042092204093933,0.1290952986011609
211,125,125,100.0,79.8,0.12180791015625,-0.0032341526821255684,0.39335131645202637,0.07221349956942595
212,78,78,100.0,121.8,0.1177675048828125,-0.017364075407385826,0.40092554688453674,0.08953027612780155
213,75,73,97.3,133.2,0.11454609375,-0.008333333767950535,0.3972809612751007,0.08330789546412021
214,121,121,100.0,111.3,0.10907376708984375,-0.019328586757183075,0.34016093611717224,0.06966954708175094
215,126,126,100.0,72.4,0.2405082763671875,0.01719457097351551,0.42885732650756836,0.07980459198937659
216,82,82,100.0,98.5,0.3385490234375,0.12095032632350922,0.5286892652511597,0.07434722056852239
217,63,63,100.0,119.9,0.323518017578125,0.043805427849292755,0.5441891551017761,0.07889088694946945
218,71,71,100.0,157.2,0.2409599609375,-0.013414325192570686,0.49085795879364014,0.10517287715098456
219,63,63,100.0,187.2,0.235372412109375,-0.01144250575453043,0.4391014277935028,0.0914920139755326
220,87,87,100.0,131.9,0.2641535400390625,0.05647840350866318,0.4491734206676483,0.07679386225342472
221,140,140,100.0,131.1,0.2484168701171875,0.012583271600306034,0.4809463620185852,0.0819991372817185
222,2,2,100.0,6.3,0.306401904296875,0.05837922915816307,0.5223976969718933,0.0777998942320251
224,43,43,100.0,55.7,0.2440655029296875,0.01998482085764408,0.4197348952293396,0.07982744963736446
225,57,57,100.0,214.3,0.262360595703125,0.03624093905091286,0.4610961973667145,0.09272363944286191
226,29,29,100.0,283.3,0.31257666015625,0.055720970034599304,0.47572481632232666,0.08854634098795586
227,6,0,0.0,593.0,0.387653076171875,0.13680703938007355,0.5143429040908813,0.06207091372535283
228,11,11,100.0,317.5,0.38397900390625,0.1020294725894928,0.4985590875148773,0.05761846231256064
229,265,265,100.0,206.0,0.10458173828125,-0.016151361167430878,0.408740371465683,0.08682485501060679
230,176,176,100.0,289.5,0.02943601958605708,-0.028753994032740593,0.18237453699111938,0.035217158904000206
231,65,65,100.0,28.4,0.23297901387117348,0.0,0.4927399456501007,0.11823885549948492
232,67,67,100.0,29.2,0.290041357421875,0.025422004982829094,0.47586789727211,0.13783763312793162
233,99,99,100.0,70.6,0.1426705810546875,-0.007481296546757221,0.4495871067047119,0.08866396244929832
234,71,71,100.0,189.6,0.21487919921875,0.02076677232980728,0.47664162516593933,0.10219378660488274
235,74,73,98.6,185.9,0.142281884765625,-0.012035583145916462,0.3636694550514221,0.07241034302233652
236,98,48,49.0,394.3,0.19571806640625,0.007837713696062565,0.41845664381980896,0.08075868054901598
237,109,105,96.3,254.1,0.16947789306640626,-0.018633540719747543,0.38795801997184753,0.08471384494416645
238,84,84,100.0,112.4,0.235388037109375,0.044113174080848694,0.42956119775772095,0.07296794230462834
239,24,24,100.0,74.0,0.300370556640625,0.0741099864244461,0.5164909958839417,0.08977098607525691
240,99,94,94.9,281.3,0.2901677978515625,0.08090873062610626,0.4797835052013397,0.08851431915313378
241,72,60,83.3,255.2,0.267639501953125,0.06337372213602066,0.46533986926078796,0.07944669087061378
